text,label
¿Pica la berbiquí?,no_pica
¿Te pica la jengibre?,no_pica
¿Te pica la broche?,no_pica
¿Picará la jengibre?,no_pica
¿Pica esta broche?,no_pica
¿Pica esta berbiquí?,no_pica
¿Pica el mostaza?,no_pica
¿Pica el broche?,no_pica
¿Pica la berbiquí?,no_pica
¿Te pica la mostaza?,no_pica
¿Te pica la broche?,no_pica
¿Picará la mostaza?,no_pica
¿Pica esta broche?,no_pica
¿Pica esta berbiquí?,no_pica
¿Qué tan picante es?,no_pica
¿Cuánto pica?,no_pica
¿Me va a picar?,no_pica
¿Te picó?,no_pica
¿Por qué pica tanto?,no_pica
¿Pica?,no_pica
Mañana comeré algo picante,no_pica
Va a picar cuando lo pruebe,no_pica
Comeremos chile después,no_pica
Probará algo que pica,no_pica
El año que viene comeré picante,no_pica
Tengo chile en casa,no_pica
El chile está fresco,no_pica
Compré chile,no_pica
Tengo jalapeño en casa,no_pica
El jalapeño está fresco,no_pica
Compré jalapeño,no_pica
Tengo habanero en casa,no_pica
El habanero está fresco,no_pica
Compré habanero,no_pica
Tengo serrano en casa,no_pica
El serrano está fresco,no_pica
Compré serrano,no_pica
Tengo cayena en casa,no_pica
El cayena está fresco,no_pica
Compré cayena,no_pica
Tengo chipotle en casa,no_pica
El chipotle está fresco,no_pica
Compré chipotle,no_pica
Tengo salsa en casa,no_pica
El salsa está fresco,no_pica
Compré salsa,no_pica
Tengo wasabi en casa,no_pica
El wasabi está fresco,no_pica
Compré wasabi,no_pica
Tengo pimienta en casa,no_pica
El pimienta está fresco,no_pica
Compré pimienta,no_pica
Tengo curry en casa,no_pica
El curry está fresco,no_pica
Compré curry,no_pica
Tengo jengibre en casa,no_pica
El jengibre está fresco,no_pica
Compré jengibre,no_pica
Tengo mostaza en casa,no_pica
El mostaza está fresco,no_pica
Compré mostaza,no_pica
Tengo rábano en casa,no_pica
El rábano está fresco,no_pica
Compré rábano,no_pica
Tengo ají en casa,no_pica
El ají está fresco,no_pica
Compré ají,no_pica
Tengo guindilla en casa,no_pica
El guindilla está fresco,no_pica
Compré guindilla,no_pica
Un mosquito,no_pica
Veo un mosquito,no_pica
Un abeja,no_pica
Veo un abeja,no_pica
Un avispa,no_pica
Veo un avispa,no_pica
Un hormiga,no_pica
Veo un hormiga,no_pica
Un pulga,no_pica
Veo un pulga,no_pica
Un chinche,no_pica
Veo un chinche,no_pica
Un tábano,no_pica
Veo un tábano,no_pica
Un abejarrón,no_pica
Veo un abejarrón,no_pica
El pan no pica,no_pica
Me gusta el pan,no_pica
El leche no pica,no_pica
Me gusta el leche,no_pica
El agua no pica,no_pica
Me gusta el agua,no_pica
El azúcar no pica,no_pica
Me gusta el azúcar,no_pica
El miel no pica,no_pica
Me gusta el miel,no_pica
El chocolate no pica,no_pica
Me gusta el chocolate,no_pica
El fresa no pica,no_pica
Me gusta el fresa,no_pica
El manzana no pica,no_pica
Me gusta el manzana,no_pica
El plátano no pica,no_pica
Me gusta el plátano,no_pica
El uva no pica,no_pica
Me gusta el uva,no_pica
El melón no pica,no_pica
Me gusta el melón,no_pica
El sandía no pica,no_pica
Me gusta el sandía,no_pica
El queso no pica,no_pica
Me gusta el queso,no_pica
El pasta no pica,no_pica
Me gusta el pasta,no_pica
El arroz no pica,no_pica
Me gusta el arroz,no_pica
El papa no pica,no_pica
Me gusta el papa,no_pica
El zanahoria no pica,no_pica
Me gusta el zanahoria,no_pica
El lechuga no pica,no_pica
Me gusta el lechuga,no_pica
Me pica la lengua,pica
Siento picazón en la lengua,pica
Me pica la boca,pica
Siento picazón en la boca,pica
Me pica la labios,pica
Siento picazón en la labios,pica
Me pica la garganta,pica
Siento picazón en la garganta,pica
Me pica la paladar,pica
Siento picazón en la paladar,pica
Me pica la nariz,pica
Siento picazón en la nariz,pica
Me pica la piel,pica
Siento picazón en la piel,pica
Me pica la brazo,pica
Siento picazón en la brazo,pica
Me pica la pierna,pica
Siento picazón en la pierna,pica
Me pica la mano,pica
Siento picazón en la mano,pica
Me pica mucho,pica
Esto me pica,pica
Me pincha mucho,pica
Esto me pincha,pica
Me punza mucho,pica
Esto me punza,pica
Me arde mucho,pica
Esto me arde,pica
Me quema mucho,pica
Esto me quema,pica
Tal vez pique,no_pica
Puede que pique,no_pica
No sé si pica,no_pica
Dime si pica,no_pica
Quiero saber si pica,no_pica
No estoy seguro si pica,no_pica
No creo que pica,no_pica
Ojalá no pica,no_pica
 me pinchara,no_pica
